Price,Close,High,Low,Open,Volume
Ticker,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
Date,,,,,
2025-05-26,279.8900146484375,280.95001220703125,276.510009765625,276.510009765625,8040183
2025-05-27,278.25,280.8900146484375,276.8999938964844,279.8900146484375,10251014
2025-05-28,277.69000244140625,279.989990234375,277.1199951171875,278.0,4966659
2025-05-29,278.5400085449219,279.0899963378906,277.0199890136719,278.7799987792969,4632027
2025-05-30,277.9700012207031,279.8900146484375,277.7099914550781,279.8900146484375,3521102
2025-06-02,277.6000061035156,278.3800048828125,275.0,276.0,5733152
2025-06-03,275.7699890136719,278.6000061035156,275.4100036621094,278.0,7575648
2025-06-04,276.4599914550781,276.8900146484375,275.1499938964844,276.5,2785742
2025-06-05,278.04998779296875,279.3399963378906,276.3699951171875,277.8999938964844,7273297
2025-06-06,280.5,280.8500061035156,277.0,278.8999938964844,11945116
2025-06-09,281.3500061035156,282.8900146484375,281.04998779296875,281.04998779296875,4288088
2025-06-10,281.3900146484375,282.79998779296875,281.0,282.20001220703125,4557302
2025-06-11,281.8699951171875,282.79998779296875,280.5,281.75,5246351
2025-06-12,278.95001220703125,282.75,278.42999267578125,282.0,7646410
2025-06-13,277.1000061035156,277.5,274.0799865722656,276.0,6491577
2025-06-16,279.70001220703125,279.9700012207031,276.010009765625,279.3900146484375,5287546
2025-06-17,278.5899963378906,281.489990234375,278.2099914550781,281.489990234375,7113968
2025-06-18,278.239990234375,279.8900146484375,277.3800048828125,279.8900146484375,3200952
2025-06-19,277.9100036621094,279.8900146484375,271.2799987792969,278.5,4330677
2025-06-20,281.5,281.79998779296875,276.489990234375,276.510009765625,11399466
2025-06-23,280.8599853515625,281.5299987792969,278.5,280.8999938964844,8963571
2025-06-24,281.42999267578125,284.239990234375,281.1700134277344,283.8999938964844,10219161
2025-06-25,283.4100036621094,283.7799987792969,281.7099914550781,282.0,3346093
2025-06-26,286.3900146484375,286.5799865722656,282.1099853515625,283.3999938964844,10212702
2025-06-27,287.9599914550781,288.2799987792969,286.44000244140625,287.0,5139824
2025-06-30,286.510009765625,289.3900146484375,286.1099853515625,287.79998779296875,7928260
2025-07-01,286.8399963378906,287.8900146484375,286.30999755859375,287.8800048828125,5355172
2025-07-02,285.7799987792969,287.8900146484375,285.20001220703125,287.8900146484375,5669639
2025-07-03,285.3900146484375,287.260009765625,285.1600036621094,286.8900146484375,9806621
2025-07-04,286.1099853515625,287.8900146484375,283.010009765625,287.8900146484375,4468132
2025-07-07,286.07000732421875,287.7900085449219,284.010009765625,287.7900085449219,5191711
2025-07-08,286.9100036621094,287.19000244140625,285.29998779296875,285.8999938964844,2720142
2025-07-09,286.5,287.69000244140625,286.0,286.1099853515625,2084278
2025-07-10,285.1600036621094,287.69000244140625,285.0,285.29998779296875,4543938
2025-07-11,283.1099853515625,285.3900146484375,282.5,285.3900146484375,5335789
2025-07-14,282.7099914550781,284.3900146484375,281.69000244140625,284.3900146484375,3884074
2025-07-15,283.69000244140625,284.3800048828125,282.1000061035156,283.489990234375,5581909
2025-07-16,283.6400146484375,284.3900146484375,282.79998779296875,283.79998779296875,3091019
2025-07-17,282.8299865722656,284.989990234375,282.6099853515625,284.989990234375,3832375
2025-07-18,281.42999267578125,283.69000244140625,281.0,283.5,4485164
2025-07-21,282.260009765625,282.7900085449219,280.3500061035156,282.7900085449219,3913052
2025-07-22,282.07000732421875,283.8900146484375,281.29998779296875,283.8900146484375,3289296
2025-07-23,283.5299987792969,283.70001220703125,281.29998779296875,283.69000244140625,3432968
2025-07-24,282.1000061035156,284.489990234375,281.5400085449219,284.489990234375,3352354
2025-07-25,280.0299987792969,282.19000244140625,279.8500061035156,282.1000061035156,5504460
2025-07-28,278.489990234375,280.6199951171875,278.1300048828125,280.489990234375,3570644
2025-07-29,280.0899963378906,286.8399963378906,277.4100036621094,286.8399963378906,3694965
2025-07-30,280.1300048828125,281.8900146484375,278.4599914550781,281.8900146484375,3042854
2025-07-31,279.260009765625,281.3900146484375,277.3299865722656,279.8999938964844,6228908
2025-08-01,277.3500061035156,280.989990234375,277.0299987792969,280.989990234375,4744556
2025-08-04,278.8500061035156,279.0199890136719,276.9800109863281,278.80999755859375,3105481
2025-08-05,278.1400146484375,279.8900146484375,277.6000061035156,279.3900146484375,3012419
2025-08-06,277.30999755859375,278.8900146484375,277.010009765625,278.8900146484375,2331607
2025-08-07,277.2900085449219,277.989990234375,274.79998779296875,275.510009765625,7435680
2025-08-08,275.1400146484375,277.8900146484375,274.79998779296875,277.8900146484375,4493882
2025-08-11,277.2900085449219,277.489990234375,274.5,277.0,2929821
2025-08-12,276.5400085449219,278.70001220703125,276.17999267578125,277.8900146484375,3767553
2025-08-13,278.0199890136719,278.8900146484375,277.010009765625,278.8900146484375,2084764
2025-08-14,278.2300109863281,278.8900146484375,275.010009765625,278.8900146484375,2919674
2025-08-18,281.07000732421875,282.42999267578125,279.7799987792969,280.1099853515625,5916142
2025-08-19,281.9599914550781,282.2200012207031,280.5799865722656,281.8900146484375,3740523
2025-08-20,282.5199890136719,282.8500061035156,281.0199890136719,282.4800109863281,2775361
2025-08-21,283.05999755859375,284.989990234375,282.54998779296875,284.989990234375,2667789
2025-08-22,280.75,283.4800109863281,280.5899963378906,283.05999755859375,3705971
2025-08-25,281.67999267578125,282.2900085449219,272.3299865722656,280.010009765625,2044353
2025-08-26,279.04998779296875,281.989990234375,278.79998779296875,281.989990234375,4753080
2025-08-28,276.92999267578125,279.7900085449219,276.6499938964844,279.7900085449219,7638066
2025-08-29,276.05999755859375,277.7900085449219,275.54998779296875,276.92999267578125,4233350
2025-09-01,278.17999267578125,278.25,275.67999267578125,276.8900146484375,2806125
2025-09-02,277.67999267578125,279.5,277.0,277.6199951171875,3594728
2025-09-03,278.94000244140625,279.20001220703125,277.010009765625,278.69000244140625,4662312
2025-09-04,279.32000732421875,282.3800048828125,277.25,282.0,3947984
2025-09-05,279.6000061035156,280.739990234375,278.20001220703125,279.79998779296875,3725303
2025-09-08,279.989990234375,281.20001220703125,279.45001220703125,281.20001220703125,5102190
2025-09-09,280.5400085449219,281.989990234375,279.760009765625,280.8399963378906,3612790
2025-09-10,281.8399963378906,283.989990234375,281.17999267578125,283.989990234375,5057073
2025-09-11,282.5299987792969,282.7699890136719,281.1400146484375,281.8999938964844,3697227
2025-09-12,283.510009765625,283.8999938964844,282.70001220703125,283.5799865722656,4540757
2025-09-15,283.1199951171875,284.3900146484375,282.010009765625,282.010009765625,4123724
2025-09-16,284.8900146484375,285.1000061035156,282.80999755859375,283.6400146484375,4540948
2025-09-17,285.9800109863281,286.19000244140625,284.8800048828125,285.760009765625,3838093
2025-09-18,286.70001220703125,287.5400085449219,285.010009765625,286.9800109863281,4222056
2025-09-19,285.8999938964844,295.29998779296875,285.29998779296875,295.29998779296875,3726008
2025-09-22,284.489990234375,285.7900085449219,284.1099853515625,285.4800109863281,3043743
2025-09-23,284.3500061035156,285.3900146484375,283.010009765625,285.3900146484375,4375351
2025-09-24,282.8800048828125,284.80999755859375,282.010009765625,282.010009765625,4265674
2025-09-25,281.239990234375,283.69000244140625,281.010009765625,283.69000244140625,3036126
2025-09-26,278.739990234375,281.69000244140625,278.489990234375,281.69000244140625,5597250
2025-09-29,278.5400085449219,280.25,278.19000244140625,279.989990234375,4201038
2025-09-30,277.5199890136719,279.989990234375,277.25,279.989990234375,9051079
2025-10-01,280.510009765625,280.6300048828125,270.5799865722656,276.6600036621094,4924597
2025-10-03,281.1600036621094,281.30999755859375,279.0799865722656,280.8900146484375,4867050
2025-10-06,283.07000732421875,283.20001220703125,280.70001220703125,281.5799865722656,5511685
2025-10-07,283.4100036621094,284.5,282.6400146484375,283.489990234375,6204149
2025-10-08,282.3800048828125,284.17999267578125,282.010009765625,283.75,5658365
2025-10-09,284.04998779296875,284.239990234375,282.239990234375,282.8800048828125,3985452
2025-10-10,285.5199890136719,285.95001220703125,282.010009765625,284.7799987792969,3912389
2025-10-13,284.6400146484375,285.1499938964844,283.69000244140625,285.1499938964844,3939547
2025-10-14,283.69000244140625,286.3900146484375,282.9200134277344,286.3900146484375,4983304
2025-10-15,286.07000732421875,286.45001220703125,283.7300109863281,284.2799987792969,5644935
2025-10-16,288.70001220703125,289.0,277.489990234375,277.489990234375,8482862
2025-10-17,290.1700134277344,290.95001220703125,287.8599853515625,288.69000244140625,10588073
2025-10-20,291.8599853515625,292.5400085449219,289.010009765625,292.489990234375,7601294
2025-10-21,291.8699951171875,292.9200134277344,291.489990234375,292.9200134277344,1818933
2025-10-23,292.3900146484375,295.3800048828125,291.8800048828125,293.1300048828125,8327299
2025-10-27,293.3500061035156,294.3299865722656,290.010009765625,294.17999267578125,6459908
2025-10-28,293.1000061035156,294.989990234375,292.0,294.989990234375,5695772
2025-10-29,294.5,294.8999938964844,291.010009765625,291.010009765625,5829864
2025-10-30,292.5799865722656,294.989990234375,291.9100036621094,294.989990234375,4522400
2025-10-31,291.0799865722656,295.0,290.8999938964844,295.0,4443200
2025-11-03,291.3500061035156,292.7900085449219,290.04998779296875,292.7900085449219,6786625
2025-11-04,289.5899963378906,291.6400146484375,289.5,291.5400085449219,5283417
2025-11-05,289.5899963378906,289.5899963378906,289.5899963378906,289.5899963378906,0
2025-11-06,288.239990234375,290.3999938964844,287.9800109863281,290.3999938964844,6869446
2025-11-07,288.44000244140625,289.1600036621094,286.3500061035156,288.239990234375,5882266
2025-11-10,289.489990234375,290.29998779296875,288.1300048828125,289.8900146484375,4884041
2025-11-11,290.82000732421875,291.0799865722656,287.010009765625,287.010009765625,3812506
2025-11-12,292.7200012207031,293.1000061035156,291.54998779296875,292.2900085449219,4219988
2025-11-13,292.3900146484375,293.75,291.75,293.2099914550781,5561716
2025-11-14,292.8299865722656,293.25,290.8399963378906,290.8399963378906,4717609
2025-11-17,293.9700012207031,301.6099853515625,292.739990234375,301.6099853515625,4615578
2025-11-18,292.9700012207031,294.8900146484375,292.5,294.8900146484375,3969744
2025-11-19,294.3699951171875,294.54998779296875,292.3999938964844,292.9700012207031,4475990
2025-11-20,295.6400146484375,296.3699951171875,292.32000732421875,293.19000244140625,7504990
2025-11-21,294.32000732421875,295.8900146484375,294.1000061035156,295.8900146484375,4539993
